GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900010045101,Fairfield County,212500,0.8058139534883721,0.01783097215437225
G0900010045102,Fairfield County,158873,0.7120906801007557,0.050491358861402914
G0900010045200,Fairfield County,122500,0.7356687898089171,0.024380165289256198
G0900010045300,Fairfield County,222663,0.8585858585858586,0.0231629392971246
G0900010045400,Fairfield County,212125,0.7693357597816196,0.009112286890064668
G0900010050100,Fairfield County,236250,0.8266666666666667,0.03735498839907193
G0900010050200,Fairfield County,157625,0.8007352941176471,0.029735132433783108
G0900010050300,Fairfield County,241875,0.7834532374100719,0.04227753153767474
G0900010050400,Fairfield County,125938,0.6755079006772009,0.04285714285714286
G0900010050500,Fairfield County,160089,0.7417197452229299,0.08572021585720216
G0900010050600,Fairfield County,197344,0.8186294624538367,0.04352839434995676
G0900010055100,Fairfield County,204034,0.7859277370279816,0.023848534498452575
G0900010055200,Fairfield County,242417,0.8448679371447676,0.030981787732886748
G0900010060100,Fairfield County,123750,0.5045385779122542,0.054094665664913597
G0900010060200,Fairfield County,128889,0.6349784696919509,0.026749888542131076
G0900010060300,Fairfield County,146364,0.6779039941370465,0.007560483870967742
G0900010060400,Fairfield County,231806,0.808338937457969,0.012228260869565218
G0900010060500,Fairfield County,201023,0.7744988864142539,0.01908682634730539
G0900010060600,Fairfield County,159479,0.7371134020618557,0.06411323896752706
G0900010060700,Fairfield County,181217,0.7094088259783514,0.01851498377552968
G0900010060800,Fairfield County,159083,0.7045454545454546,0.020257826887661142
G0900010060900,Fairfield County,138000,0.5711060948081265,0.018590240123934933
G0900010061000,Fairfield County,76224,0.4920399851906701,0.09954637096774194
G0900010061100,Fairfield County,160438,0.7240672406724067,0.03582635983263598
G0900010061200,Fairfield County,87821,0.47692307692307695,0.15397350993377484
G0900010061300,Fairfield County,91364,0.5002267573696145,0.09106354060482501
G0900010061400,Fairfield County,79208,0.46048109965635736,0.042525351651946354
G0900010061500,Fairfield County,144783,0.7440694954894754,0.07685933291899731
G0900010061600,Fairfield County,123194,0.7062228654124457,0.082972718720602065
G0900010070100,Fairfield County,85000,0.4788732394366197,0.13476118271417742
G0900010070200,Fairfield County,37365,0.14432989690721648,0.2154008997089177
G0900010070300,Fairfield County,7821,0.04440497335701599,0.722024233784747
G0900010070400,Fairfield County,27026,0.3768595041322314,0.1630012936610608
G0900010070500,Fairfield County,21118,0.40014847809948034,0.3937046004842615
G0900010070600,Fairfield County,20129,0.2828162291169451,0.30201342281879195
G0900010070900,Fairfield County,36375,0.15556865055981142,0.34827332843497427
G0900010071000,Fairfield County,44526,0.14029995162070633,0.22932628797886392
G0900010071100,Fairfield County,43327,0.10976872626855368,0.23081967213114754
